datetime,farm_id,system_type,species,temperature_celsius,ph,dissolved_oxygen_mg_per_L,ammonia_nh4_mg_per_L,nitrate_mg_per_L,conductivity_uS_per_cm,turbidity_NTU,water_quality_status
2021-01-19 16:10:00,Farm_18,raceway,trout,11.3,7.37,8.93,1.4589,20.87,699.0,5.79,fair
2021-01-20 08:29:00,Farm_13,raceway,salmon,9.1,7.2,8.88,0.8271,19.79,233.0,2.05,fair
2021-01-20 16:20:00,Farm_02,raceway,trout,11.2,8.28,9.13,0.8945,5.42,505.0,5.62,fair
2021-01-20 16:44:00,Farm_18,raceway,trout,10.8,7.83,9.83,0.4517,11.06,155.0,6.98,fair
2021-01-21 06:51:00,Farm_11,tank,shrimp,29.2,7.66,7.71,1.2988,16.55,3128.0,17.43,good
2021-01-22 10:04:00,Farm_07,recirculating,tilapia,21.0,7.2,8.33,1.68,44.85,745.0,3.84,good
2021-01-23 17:20:00,Farm_07,cage,salmon,12.9,8.64,6.21,0.5826,4.15,828.0,6.13,poor
2021-01-24 12:56:00,Farm_15,pond,carp,19.9,8.84,7.95,1.821,10.64,1661.0,33.42,good
2021-01-25 10:08:00,Farm_08,pond,hybrid_striped_bass,13.9,8.4,8.68,0.9549,17.37,844.0,10.99,fair
2021-01-26 14:16:00,Farm_19,tank,shrimp,28.1,7.22,6.84,1.3119,20.29,2416.0,1.41,good
2021-01-27 15:25:00,Farm_12,raceway,trout,12.0,7.68,10.16,0.8588,6.02,395.0,6.03,fair
2021-01-28 08:32:00,Farm_16,pond,catfish,19.3,8.17,6.23,1.1907,4.92,825.0,14.13,good
2021-01-29 06:43:00,Farm_04,pond,hybrid_striped_bass,11.9,7.21,5.32,2.0,8.36,539.0,26.63,fair
2021-01-29 07:24:00,Farm_13,recirculating,tilapia,24.5,6.72,7.91,0.7289,10.71,342.0,3.98,good
2021-01-29 13:33:00,Farm_09,pond,hybrid_striped_bass,12.9,8.59,8.93,1.2886,8.16,230.0,9.38,fair
2021-01-29 16:10:00,Farm_14,recirculating,tilapia,24.7,7.31,7.66,0.5632,48.13,734.0,1.89,good
2021-01-29 18:03:00,Farm_04,pond,carp,18.8,6.79,4.99,1.6555,4.11,1157.0,4.4,fair
2021-01-29 18:17:00,Farm_11,pond,catfish,18.5,7.28,6.94,0.7468,8.13,412.0,64.33,good
2021-01-30 10:27:00,Farm_06,cage,salmon,9.8,8.4,9.96,2.0,1.17,47178.0,8.09,fair
2021-01-31 06:46:00,Farm_09,pond,hybrid_striped_bass,13.9,8.49,6.23,2.0,11.51,1687.0,2.11,fair
2021-02-01 18:11:00,Farm_17,pond,catfish,21.0,8.41,6.59,1.0513,17.24,1731.0,8.33,good
2021-02-02 16:19:00,Farm_17,recirculating,tilapia,22.3,7.24,7.4,0.8959,56.17,315.0,3.31,good
2021-02-03 09:09:00,Farm_12,pond,carp,19.2,8.11,8.08,0.8198,3.08,1099.0,5.18,good
2021-02-03 14:49:00,Farm_17,pond,tilapia,19.4,8.05,8.27,1.2193,12.82,1017.0,18.84,good
2021-02-04 15:20:00,Farm_16,pond,tilapia,20.7,9.05,7.83,0.732,3.41,700.0,12.78,fair
2021-02-05 07:59:00,Farm_12,raceway,salmon,8.4,7.5,9.49,1.336,7.98,177.0,1.25,fair
2021-02-06 07:05:00,Farm_16,pond,catfish,19.9,7.43,5.77,0.8435,6.02,504.0,64.34,good
2021-02-06 09:03:00,Farm_08,recirculating,tilapia,22.2,7.42,6.49,2.0,29.21,201.0,0.66,good
2021-02-07 18:34:00,Farm_05,pond,carp,21.5,7.34,5.19,1.0101,9.41,725.0,15.3,good
2021-02-08 09:59:00,Farm_18,raceway,trout,12.9,7.24,8.54,1.1968,5.29,205.0,4.73,fair
2021-02-08 10:33:00,Farm_20,tank,shrimp,23.1,7.18,8.05,1.3238,18.41,3291.0,5.01,good
2021-02-08 16:30:00,Farm_18,pond,carp,19.1,8.14,5.18,0.6269,5.01,370.0,31.85,good
2021-02-08 17:19:00,Farm_13,tank,bass,17.0,7.27,7.43,1.0961,20.56,925.0,6.08,good
2021-02-09 13:57:00,Farm_17,cage,salmon,9.7,7.67,7.6,0.9651,3.38,2077.0,5.5,fair
2021-02-10 07:15:00,Farm_08,pond,catfish,19.1,7.93,5.19,0.9824,9.54,574.0,49.17,good
2021-02-10 11:01:00,Farm_19,pond,hybrid_striped_bass,14.7,8.04,9.01,1.4126,10.61,621.0,88.93,fair
2021-02-11 09:37:00,Farm_08,pond,tilapia,19.2,8.99,6.01,1.1081,17.73,1193.0,29.35,good
2021-02-12 07:45:00,Farm_02,raceway,trout,8.8,7.69,8.78,1.2215,4.2,224.0,8.33,fair
2021-02-13 07:32:00,Farm_08,raceway,salmon,14.1,6.9,8.74,1.8103,19.93,1203.0,3.31,fair
2021-02-13 07:57:00,Farm_02,tank,bass,19.5,6.72,7.48,1.1765,18.79,833.0,3.09,good
2021-02-13 16:31:00,Farm_07,pond,hybrid_striped_bass,16.3,8.34,7.39,2.0,9.38,1638.0,14.0,good
2021-02-14 08:46:00,Farm_19,recirculating,tilapia,21.7,7.3,6.34,1.1168,16.41,399.0,0.58,good
2021-02-15 09:06:00,Farm_04,tank,shrimp,26.2,7.0,8.98,1.2958,10.46,2970.0,4.93,good
2021-02-15 11:27:00,Farm_14,cage,salmon,12.7,7.64,7.07,1.994,1.45,1824.0,7.43,fair
2021-02-15 13:15:00,Farm_16,tank,shrimp,25.9,7.4,8.78,2.0,8.88,3123.0,3.36,good
2021-02-16 12:46:00,Farm_11,pond,catfish,19.6,9.02,7.42,0.6238,11.48,1526.0,54.76,fair
2021-02-16 17:03:00,Farm_04,pond,tilapia,21.7,7.44,5.42,1.4779,15.67,814.0,54.03,good
2021-02-17 09:12:00,Farm_07,pond,hybrid_striped_bass,15.9,7.02,6.87,2.0,6.88,2164.0,55.71,good
2021-02-18 13:08:00,Farm_14,pond,carp,21.6,8.41,7.8,1.3426,3.93,122.0,19.21,good
2021-02-19 10:29:00,Farm_08,pond,catfish,23.2,8.24,5.81,1.1382,10.16,1436.0,12.31,good
2021-02-20 13:51:00,Farm_18,pond,catfish,22.2,7.59,6.7,1.4497,14.86,1231.0,27.82,good
2021-02-21 06:41:00,Farm_18,pond,tilapia,22.5,8.86,5.97,0.9682,5.46,1818.0,50.52,fair
2021-02-21 07:59:00,Farm_08,pond,carp,21.4,7.47,5.47,1.2454,5.71,1306.0,9.13,good
2021-02-22 12:31:00,Farm_16,raceway,trout,14.7,7.97,9.74,1.4464,30.47,326.0,5.67,fair
2021-02-22 12:57:00,Farm_02,pond,carp,22.0,7.12,7.95,2.0,10.6,107.0,25.76,good
2021-02-23 12:00:00,Farm_13,raceway,salmon,11.3,7.53,7.84,1.4752,4.38,384.0,4.0,fair
2021-02-24 18:50:00,Farm_15,raceway,salmon,14.8,7.79,7.83,0.8894,22.27,1142.0,8.25,fair
2021-02-25 06:37:00,Farm_18,pond,tilapia,21.1,8.09,5.9,1.226,9.48,1113.0,71.26,good
2021-02-25 08:12:00,Farm_10,raceway,trout,12.1,7.78,8.39,1.1912,28.02,1089.0,0.87,fair
2021-02-25 12:44:00,Farm_18,cage,salmon,13.4,8.62,7.78,0.6905,1.65,777.0,5.42,poor
2021-02-25 15:30:00,Farm_17,pond,hybrid_striped_bass,17.5,7.52,7.02,0.7382,13.31,1586.0,6.77,good
2021-02-25 17:20:00,Farm_02,pond,tilapia,22.2,7.39,6.56,1.3284,13.9,1744.0,60.21,good
2021-02-26 07:56:00,Farm_19,raceway,trout,14.4,7.92,8.04,0.6616,9.94,516.0,2.0,fair
2021-02-26 08:03:00,Farm_17,pond,catfish,22.2,8.7,7.61,0.5935,4.72,539.0,38.68,good
2021-02-26 08:04:00,Farm_20,pond,catfish,22.4,8.56,6.99,1.5018,17.72,929.0,27.25,good
2021-02-26 16:55:00,Farm_08,tank,shrimp,29.3,7.57,6.71,2.0,16.67,2680.0,6.35,good
2021-02-27 15:38:00,Farm_02,recirculating,tilapia,24.3,7.25,10.59,2.0,49.12,793.0,2.27,good
2021-02-28 07:26:00,Farm_19,recirculating,tilapia,25.4,7.23,9.12,1.1723,36.97,259.0,5.7,good
2021-03-01 14:20:00,Farm_09,raceway,trout,11.4,7.56,11.11,1.0997,5.11,1016.0,6.63,fair
2021-03-01 16:45:00,Farm_11,raceway,trout,13.5,7.33,9.78,0.9349,8.45,910.0,4.73,fair
2021-03-02 10:25:00,Farm_05,raceway,salmon,15.7,8.03,8.74,0.63,14.16,362.0,2.47,good
2021-03-02 13:20:00,Farm_03,pond,tilapia,22.1,8.72,7.07,1.8196,23.17,1420.0,86.23,good
2021-03-03 13:39:00,Farm_19,pond,catfish,21.3,7.87,7.6,0.844,7.86,1324.0,17.0,good
2021-03-04 07:34:00,Farm_07,pond,hybrid_striped_bass,16.7,6.96,4.81,0.794,4.35,1065.0,56.26,fair
2021-03-04 10:08:00,Farm_12,pond,catfish,21.1,8.91,7.19,1.9511,7.12,1171.0,28.65,good
2021-03-05 09:23:00,Farm_10,pond,carp,21.6,7.06,8.07,0.5081,4.01,297.0,48.47,good
2021-03-05 13:53:00,Farm_18,raceway,salmon,12.6,8.38,8.57,0.5409,22.2,429.0,3.93,fair
2021-03-06 15:51:00,Farm_17,pond,tilapia,20.8,7.43,6.57,1.2453,7.72,453.0,45.84,good
2021-03-06 16:06:00,Farm_05,raceway,salmon,14.5,7.52,7.79,1.411,12.08,886.0,2.7,fair
2021-03-06 16:52:00,Farm_18,raceway,salmon,13.2,7.67,9.4,1.2832,7.28,188.0,7.86,fair
2021-03-07 07:56:00,Farm_04,pond,hybrid_striped_bass,16.7,8.63,6.14,0.9693,9.12,1227.0,26.48,fair
2021-03-08 08:17:00,Farm_10,recirculating,tilapia,26.7,7.45,7.0,2.0,58.72,508.0,3.06,good
2021-03-09 09:45:00,Farm_11,raceway,trout,14.1,6.91,7.27,1.0543,26.61,459.0,10.75,fair
2021-03-09 16:40:00,Farm_09,pond,hybrid_striped_bass,19.9,7.92,5.57,1.0934,4.18,315.0,18.8,good
2021-03-10 13:16:00,Farm_02,pond,catfish,22.5,8.94,6.87,0.943,16.85,419.0,56.96,good
2021-03-10 16:27:00,Farm_09,pond,tilapia,24.8,8.82,7.75,1.3324,17.23,925.0,7.16,good
2021-03-11 06:21:00,Farm_05,raceway,salmon,11.8,7.37,7.97,1.4197,24.06,409.0,8.15,fair
2021-03-12 08:47:00,Farm_15,pond,hybrid_striped_bass,20.1,7.53,6.38,1.9332,16.82,1686.0,25.73,good
2021-03-12 17:27:00,Farm_18,pond,tilapia,24.0,7.53,5.74,0.6367,6.13,292.0,7.21,good
2021-03-13 06:53:00,Farm_12,recirculating,tilapia,22.9,7.35,9.52,1.2673,32.3,256.0,5.03,good
2021-03-13 07:04:00,Farm_05,pond,hybrid_striped_bass,19.7,7.97,7.24,1.0308,6.45,1965.0,5.9,good
2021-03-14 06:19:00,Farm_12,pond,tilapia,24.9,8.0,5.86,1.1656,20.34,1899.0,40.09,good
2021-03-14 11:13:00,Farm_08,pond,catfish,22.6,7.44,6.51,1.6312,11.15,1682.0,58.27,good
2021-03-14 14:09:00,Farm_14,pond,carp,22.7,7.11,8.07,1.529,9.15,406.0,46.19,good
2021-03-15 11:49:00,Farm_18,tank,shrimp,28.4,8.29,6.7,0.8296,18.16,3065.0,9.43,good
2021-03-16 08:51:00,Farm_06,tank,shrimp,29.0,7.34,6.35,1.736,25.49,4091.0,1.53,good
2021-03-16 15:47:00,Farm_05,raceway,trout,11.7,7.68,10.63,2.0,5.85,1117.0,11.37,fair
2021-03-17 06:11:00,Farm_11,tank,shrimp,25.9,7.7,8.01,0.5783,12.65,2926.0,7.32,good
2021-03-18 08:50:00,Farm_04,tank,shrimp,28.8,7.64,7.35,0.6821,9.06,3879.0,3.16,good
2021-03-18 18:42:00,Farm_08,raceway,salmon,14.7,7.9,9.09,0.6354,5.38,773.0,2.03,fair
2021-03-19 06:54:00,Farm_16,raceway,trout,12.8,8.13,9.35,1.4736,6.68,166.0,12.37,fair
2021-03-20 09:52:00,Farm_15,tank,bass,20.8,8.01,8.59,0.6078,26.02,328.0,13.03,good
2021-03-21 06:42:00,Farm_07,tank,shrimp,27.2,7.55,7.12,1.3493,5.88,3995.0,8.68,good
2021-03-21 10:52:00,Farm_08,raceway,trout,14.4,7.02,9.67,0.9487,5.43,929.0,4.73,fair
2021-03-21 11:17:00,Farm_03,raceway,salmon,12.5,7.36,7.97,1.0756,5.48,1134.0,3.5,fair
2021-03-22 11:41:00,Farm_17,tank,shrimp,25.1,8.22,6.65,1.3372,27.38,2842.0,2.8,good
2021-03-23 06:07:00,Farm_09,pond,carp,22.9,7.43,5.69,1.4849,10.37,222.0,17.08,good
2021-03-23 15:16:00,Farm_02,pond,catfish,25.4,8.79,6.71,1.0944,14.27,629.0,12.49,good
2021-03-23 15:27:00,Farm_12,tank,bass,19.7,6.97,6.53,0.9615,20.72,597.0,1.83,good
2021-03-23 16:53:00,Farm_18,tank,bass,20.6,7.72,8.05,0.693,14.82,739.0,6.92,good
2021-03-24 12:38:00,Farm_17,pond,catfish,26.4,7.43,7.38,1.385,11.66,608.0,6.0,good
2021-03-24 12:57:00,Farm_19,raceway,trout,13.7,7.41,10.46,1.1654,25.73,617.0,3.58,fair
2021-03-25 10:02:00,Farm_14,pond,tilapia,25.1,8.15,7.71,1.3766,15.2,709.0,52.63,good
2021-03-26 11:27:00,Farm_03,tank,bass,20.8,7.77,8.26,1.0185,11.69,1067.0,5.22,good
2021-03-26 14:19:00,Farm_14,tank,bass,21.0,8.05,8.79,0.6711,14.94,929.0,8.7,good
2021-03-26 14:59:00,Farm_18,raceway,trout,15.4,7.31,9.07,0.8146,19.49,246.0,11.57,good
2021-03-26 15:20:00,Farm_04,raceway,salmon,14.7,7.3,8.91,1.1515,7.13,929.0,7.92,fair
2021-03-27 06:19:00,Farm_10,raceway,trout,14.0,7.79,7.7,1.948,6.5,878.0,4.64,fair
2021-03-27 08:12:00,Farm_14,tank,shrimp,29.5,7.61,7.57,1.3194,8.5,2858.0,16.41,good
2021-03-27 12:44:00,Farm_10,pond,hybrid_striped_bass,18.5,8.16,8.17,0.9727,17.47,230.0,200.0,good
2021-03-27 15:19:00,Farm_13,pond,hybrid_striped_bass,19.3,9.06,7.02,2.0,14.64,1092.0,98.16,fair
2021-03-27 16:47:00,Farm_06,recirculating,tilapia,26.2,7.56,7.4,0.5675,72.83,514.0,3.38,good
2021-03-28 12:50:00,Farm_19,recirculating,tilapia,25.3,7.74,8.66,0.5875,81.66,447.0,3.48,good
2021-03-28 16:20:00,Farm_15,cage,salmon,14.3,7.58,7.77,2.0,1.25,887.0,14.11,fair
2021-03-29 13:43:00,Farm_07,pond,hybrid_striped_bass,21.6,7.63,7.97,1.263,7.32,134.0,57.91,good
2021-03-30 13:50:00,Farm_06,pond,catfish,28.4,8.01,7.41,1.5251,17.81,132.0,6.19,good
2021-03-31 10:32:00,Farm_20,tank,bass,22.2,8.0,8.23,0.8818,9.68,221.0,8.42,good
2021-04-01 07:52:00,Farm_08,raceway,salmon,12.6,7.37,8.66,1.6391,27.11,525.0,13.25,fair
2021-04-02 06:02:00,Farm_08,cage,salmon,16.8,8.43,6.7,0.7101,2.29,52588.0,3.02,fair
2021-04-02 09:51:00,Farm_07,pond,carp,27.6,9.0,5.2,1.4007,12.25,326.0,11.96,fair
2021-04-03 12:56:00,Farm_19,raceway,trout,16.3,7.73,7.06,0.6563,3.25,836.0,7.57,fair
2021-04-03 15:54:00,Farm_03,cage,salmon,15.5,8.0,6.59,0.6147,0.73,314.0,14.73,fair
2021-04-04 06:35:00,Farm_08,pond,catfish,27.1,7.98,5.11,0.7376,13.71,1324.0,52.89,good
2021-04-04 09:11:00,Farm_17,cage,salmon,16.5,8.87,8.45,0.9812,3.46,1561.0,13.03,fair
2021-04-04 12:15:00,Farm_05,pond,tilapia,28.4,8.83,7.76,1.5414,4.3,1656.0,66.01,fair
2021-04-04 17:44:00,Farm_13,cage,salmon,18.0,7.23,8.1,1.1404,1.72,1462.0,4.91,good
2021-04-04 18:55:00,Farm_04,tank,shrimp,29.1,7.79,6.95,1.4739,21.66,2202.0,9.26,good
2021-04-05 13:08:00,Farm_15,pond,hybrid_striped_bass,22.1,8.94,8.06,1.0316,4.1,193.0,98.8,good
2021-04-06 14:38:00,Farm_11,cage,salmon,14.6,8.08,7.57,1.8448,2.95,1133.0,8.72,fair
2021-04-06 15:52:00,Farm_17,tank,shrimp,31.2,7.75,7.88,0.9633,7.63,3649.0,1.71,good
2021-04-07 07:45:00,Farm_10,raceway,trout,15.5,7.27,6.77,1.7672,5.97,726.0,14.79,fair
2021-04-07 13:16:00,Farm_08,raceway,salmon,17.2,7.08,9.74,0.73,24.7,585.0,11.85,good
2021-04-07 14:28:00,Farm_06,cage,salmon,13.9,7.27,7.12,1.1693,4.74,1164.0,1.63,fair
2021-04-07 16:15:00,Farm_09,cage,salmon,13.1,7.88,7.91,0.8879,0.53,1052.0,9.56,fair
2021-04-07 18:49:00,Farm_17,cage,salmon,15.9,7.24,6.77,1.237,1.35,540.0,7.36,fair
2021-04-08 07:08:00,Farm_05,raceway,trout,15.9,6.85,9.05,0.8433,5.62,524.0,3.44,good
2021-04-08 10:21:00,Farm_11,pond,hybrid_striped_bass,19.3,8.04,8.48,1.6599,23.2,578.0,81.78,good
2021-04-09 12:44:00,Farm_05,raceway,trout,16.4,8.28,8.61,1.1212,5.39,164.0,13.97,good
2021-04-10 07:26:00,Farm_14,tank,bass,20.2,7.52,7.61,0.8552,18.03,366.0,14.79,good
2021-04-10 09:53:00,Farm_14,tank,shrimp,32.0,8.46,9.92,0.7596,16.24,4007.0,1.36,good
2021-04-10 14:29:00,Farm_14,pond,tilapia,27.9,8.04,7.48,0.7068,15.87,450.0,21.32,good
2021-04-10 18:37:00,Farm_01,recirculating,tilapia,25.2,7.45,7.0,1.1227,62.1,381.0,7.47,good
2021-04-11 12:30:00,Farm_01,tank,bass,19.5,7.64,8.0,1.3448,22.13,208.0,16.6,good
2021-04-12 09:31:00,Farm_08,raceway,salmon,15.2,7.21,8.33,1.6582,17.74,247.0,2.68,good
2021-04-12 10:48:00,Farm_13,tank,shrimp,31.4,6.92,7.4,1.3001,6.15,2894.0,7.95,good
2021-04-12 11:42:00,Farm_13,pond,carp,30.0,7.57,7.62,1.6991,21.34,499.0,200.0,good
2021-04-12 12:31:00,Farm_01,tank,shrimp,30.7,7.22,7.02,1.1727,2.15,3773.0,14.67,good
2021-04-12 14:47:00,Farm_18,recirculating,tilapia,29.0,7.49,8.54,0.9033,12.2,203.0,4.63,good
2021-04-13 13:58:00,Farm_05,recirculating,tilapia,25.0,7.17,7.71,0.4463,23.46,660.0,2.66,good
2021-04-13 14:01:00,Farm_13,recirculating,tilapia,25.4,7.62,9.67,0.1779,45.36,424.0,10.37,excellent
2021-04-13 15:42:00,Farm_01,pond,catfish,29.9,8.82,5.68,1.3909,13.11,1032.0,30.2,fair
2021-04-14 08:03:00,Farm_09,tank,shrimp,30.1,7.87,7.6,1.0123,23.49,3775.0,7.03,good
2021-04-14 11:13:00,Farm_15,tank,bass,20.0,7.69,7.23,1.0168,23.87,1022.0,3.82,good
2021-04-14 11:48:00,Farm_13,raceway,salmon,18.3,7.27,8.47,2.0,10.55,1246.0,6.02,good
2021-04-14 16:27:00,Farm_05,cage,salmon,18.1,8.75,7.54,0.5554,4.37,55222.0,27.77,fair
2021-04-15 07:30:00,Farm_01,pond,hybrid_striped_bass,22.8,6.73,5.49,1.2365,21.32,1105.0,31.71,good
2021-04-15 18:53:00,Farm_14,raceway,salmon,14.5,8.41,7.02,1.2802,10.62,980.0,4.75,fair
2021-04-16 06:22:00,Farm_08,pond,catfish,29.0,8.63,4.52,1.707,4.66,752.0,20.22,poor
2021-04-16 08:15:00,Farm_05,cage,salmon,16.4,7.33,6.91,1.7572,1.13,1800.0,12.59,fair
2021-04-16 09:12:00,Farm_01,recirculating,tilapia,27.5,7.56,7.76,0.8205,83.48,588.0,5.58,good
2021-04-16 16:07:00,Farm_19,raceway,trout,16.1,7.75,8.54,0.6749,4.98,768.0,16.39,good
2021-04-16 18:41:00,Farm_02,pond,tilapia,30.8,7.55,6.11,1.358,10.44,1748.0,46.78,good
2021-04-17 07:37:00,Farm_01,raceway,salmon,15.0,7.97,8.84,1.1761,10.66,448.0,10.24,good
2021-04-17 08:38:00,Farm_20,pond,catfish,29.4,7.4,6.63,0.6221,4.28,712.0,45.71,good
2021-04-17 13:44:00,Farm_09,tank,bass,21.5,7.04,7.45,1.295,37.5,308.0,27.15,good
2021-04-17 15:43:00,Farm_13,tank,shrimp,29.8,7.48,8.37,2.0,18.43,3380.0,8.11,good
2021-04-17 18:52:00,Farm_06,raceway,salmon,11.6,7.36,7.52,1.1859,8.44,424.0,8.14,fair
2021-04-18 07:32:00,Farm_11,pond,tilapia,28.0,7.9,6.77,0.7722,4.5,1260.0,105.23,good
2021-04-18 11:34:00,Farm_14,tank,bass,23.8,6.9,9.18,1.2708,22.8,656.0,7.18,good
2021-04-18 17:12:00,Farm_03,recirculating,tilapia,24.6,7.28,10.78,0.484,56.29,226.0,1.33,good
2021-04-18 17:49:00,Farm_10,recirculating,tilapia,26.0,7.21,9.17,1.5362,11.98,626.0,9.22,good
2021-04-18 17:53:00,Farm_08,pond,catfish,29.3,8.87,6.26,0.9474,6.12,570.0,92.94,fair
2021-04-18 18:07:00,Farm_19,pond,tilapia,31.3,7.34,4.34,1.3441,12.65,603.0,51.85,fair
2021-04-19 12:52:00,Farm_16,pond,catfish,28.6,8.81,7.26,1.0021,9.64,1543.0,38.42,fair
2021-04-20 12:23:00,Farm_15,pond,carp,28.8,8.23,7.94,2.0,14.86,458.0,42.79,good
2021-04-21 12:11:00,Farm_17,raceway,salmon,15.0,7.85,8.08,1.1308,8.48,761.0,15.16,good
2021-04-21 15:51:00,Farm_18,cage,salmon,16.3,7.47,7.01,1.3151,1.16,1293.0,3.88,fair
2021-04-22 13:27:00,Farm_19,raceway,salmon,14.5,7.94,8.84,1.1006,16.13,301.0,2.36,fair
2021-04-23 11:54:00,Farm_08,pond,catfish,27.6,7.84,6.71,0.8337,9.31,292.0,74.92,good
2021-04-24 10:56:00,Farm_15,raceway,trout,16.7,6.85,9.24,1.7911,14.94,773.0,11.18,good
2021-04-24 18:29:00,Farm_19,recirculating,tilapia,27.5,7.5,7.59,1.3509,73.71,581.0,2.46,good
2021-04-25 13:13:00,Farm_12,raceway,salmon,14.9,8.25,9.31,1.6773,11.74,438.0,2.67,fair
2021-04-25 13:54:00,Farm_11,pond,carp,30.9,9.19,6.94,1.0534,8.23,833.0,41.71,fair
2021-04-25 16:24:00,Farm_11,pond,tilapia,28.3,7.79,5.8,2.0,14.45,1620.0,55.34,fair
2021-04-26 11:17:00,Farm_20,raceway,salmon,16.2,8.53,8.03,0.7032,9.29,957.0,12.61,fair
2021-04-27 07:15:00,Farm_14,cage,salmon,16.3,6.78,6.67,1.6811,2.7,1174.0,9.51,fair
2021-04-27 14:00:00,Farm_17,raceway,trout,17.1,8.08,7.29,1.2499,16.39,454.0,18.45,fair
2021-04-27 14:48:00,Farm_08,cage,salmon,17.1,8.73,7.36,0.4509,1.16,902.0,29.73,fair
2021-04-27 16:45:00,Farm_16,cage,salmon,15.6,8.73,5.82,1.0035,2.65,709.0,26.9,poor
2021-04-27 18:01:00,Farm_03,raceway,salmon,15.6,7.72,7.2,0.8223,4.99,1082.0,18.03,fair
2021-04-28 09:25:00,Farm_08,raceway,salmon,15.6,7.88,10.16,0.7771,12.06,584.0,9.67,good
2021-04-28 16:37:00,Farm_12,cage,salmon,15.3,8.29,6.7,1.2977,1.64,744.0,4.93,fair
2021-04-29 14:33:00,Farm_12,tank,shrimp,29.7,7.88,7.76,1.9438,25.71,2262.0,14.62,good
2021-04-30 17:35:00,Farm_11,tank,bass,19.7,7.67,7.54,1.0169,22.56,468.0,10.42,good
2021-05-01 09:13:00,Farm_16,raceway,salmon,15.7,8.03,8.22,0.6717,3.76,325.0,12.32,good
2021-05-01 10:14:00,Farm_04,raceway,trout,15.6,7.24,8.46,1.2383,22.86,195.0,12.87,good
2021-05-01 11:07:00,Farm_18,pond,carp,29.8,7.61,8.38,1.4155,6.64,116.0,161.18,good
2021-05-01 17:29:00,Farm_09,raceway,salmon,15.3,7.15,7.95,1.1849,26.13,1039.0,10.36,fair
2021-05-02 17:37:00,Farm_17,recirculating,tilapia,26.8,7.21,7.56,1.7617,56.22,260.0,1.5,good
2021-05-03 06:45:00,Farm_18,pond,carp,29.4,7.68,7.06,1.9391,10.03,561.0,23.72,good
2021-05-03 09:23:00,Farm_06,raceway,salmon,17.5,7.2,7.97,1.2919,12.7,496.0,11.89,fair
2021-05-03 10:02:00,Farm_02,pond,hybrid_striped_bass,23.6,7.96,5.56,1.0998,17.62,1749.0,102.04,good
2021-05-03 10:06:00,Farm_07,raceway,salmon,16.9,6.94,9.4,1.3408,18.91,240.0,16.83,good
