datetime,station_id,karenia_brevis_cells_per_L,chlorophyll_a_ug_per_L,dissolved_oxygen_mg_per_L,ph,temperature_celsius,salinity_psu,conductivity_mS_per_cm,turbidity_NTU,bloom_level
2014-01-11 18:00:00,ST_010,3.0,2.31,12.84,8.23,20.1,33.8,46.91,2.7,background
2014-01-12 09:00:00,ST_004,2.0,9.45,13.01,8.08,19.0,33.4,47.17,2.25,background
2014-01-12 12:00:00,ST_009,6.0,9.77,11.62,8.08,19.1,34.4,47.79,2.2,background
2014-01-13 08:00:00,ST_012,21.0,1.78,11.63,8.11,21.4,34.8,50.09,2.01,background
2014-01-13 11:00:00,ST_007,6.0,9.82,11.16,8.16,19.1,36.2,50.2,1.66,background
2014-01-13 16:00:00,ST_012,29.0,3.95,11.87,8.02,19.4,34.9,48.98,2.26,background
2014-01-13 16:00:00,ST_009,13.0,2.82,13.58,8.23,18.0,33.9,45.1,3.96,background
2014-01-13 17:00:00,ST_022,12.0,1.42,12.56,8.16,18.0,30.0,40.31,1.98,background
2014-01-14 08:00:00,ST_018,206.0,7.07,12.93,8.2,20.2,33.6,47.21,4.6,background
2014-01-14 15:00:00,ST_021,262.0,3.04,11.54,8.15,19.2,34.3,47.44,2.81,background
2014-01-15 08:00:00,ST_015,33.0,6.58,12.34,8.19,21.3,36.6,53.43,2.22,background
2014-01-15 12:00:00,ST_009,785.0,4.13,11.1,8.09,19.9,29.1,40.53,2.07,background
2014-01-15 16:00:00,ST_023,44.0,1.59,12.76,8.14,18.0,30.0,39.28,4.29,background
2014-01-16 06:00:00,ST_008,157.0,7.1,11.21,8.14,20.5,30.4,44.44,2.56,background
2014-01-16 16:00:00,ST_011,3.0,1.36,13.49,8.15,18.0,28.5,38.05,1.75,background
2014-01-16 18:00:00,ST_025,29.0,2.6,10.94,8.18,18.0,34.2,46.5,3.96,background
2014-01-17 12:00:00,ST_009,3.0,6.99,10.9,8.31,19.8,30.5,43.12,2.23,background
2014-01-17 18:00:00,ST_011,5.0,1.48,11.7,8.13,19.0,31.8,44.31,3.62,background
2014-01-18 09:00:00,ST_019,21.0,3.75,12.38,8.2,19.4,34.4,47.48,2.47,background
2014-01-18 17:00:00,ST_011,9.0,3.87,10.9,8.18,18.7,35.5,49.54,4.16,background
2014-01-19 12:00:00,ST_021,228.0,6.28,12.82,8.21,21.0,32.1,46.48,1.57,background
2014-01-19 13:00:00,ST_005,6.0,6.97,12.99,8.15,19.3,30.0,41.77,3.0,background
2014-01-19 16:00:00,ST_016,258.0,6.16,11.54,8.12,19.2,31.0,43.15,3.34,background
2014-01-20 08:00:00,ST_008,39.0,7.27,12.45,8.24,19.1,34.8,47.19,4.06,background
2014-01-20 14:00:00,ST_009,5.0,4.34,12.72,8.22,20.7,32.6,45.7,9.77,background
2014-01-20 17:00:00,ST_018,176.0,5.18,11.1,7.99,18.9,32.9,45.29,2.97,background
2014-01-20 17:00:00,ST_019,3.0,5.91,11.99,8.24,19.5,30.1,42.26,2.31,background
2014-01-21 08:00:00,ST_017,55.0,2.39,13.18,8.1,20.3,33.6,48.02,5.05,background
2014-01-21 11:00:00,ST_008,19.0,4.56,10.82,8.12,18.3,29.9,40.09,4.46,background
2014-01-21 13:00:00,ST_003,10.0,8.51,10.64,8.06,18.6,32.9,44.51,4.0,background
2014-01-21 15:00:00,ST_013,18.0,6.18,12.16,8.16,19.3,29.8,41.33,0.94,background
2014-01-21 18:00:00,ST_002,33.0,5.6,12.06,8.18,20.8,30.7,43.7,1.43,background
2014-01-22 08:00:00,ST_021,36.0,8.9,12.43,8.23,18.5,35.1,47.9,4.39,background
2014-01-22 08:00:00,ST_022,139.0,2.9,11.85,8.06,18.0,32.2,43.17,3.21,background
2014-01-23 12:00:00,ST_013,1452.0,2.42,12.42,8.1,19.3,33.8,47.15,5.18,low
2014-01-23 14:00:00,ST_009,789.0,5.1,10.43,8.25,22.1,32.7,47.59,2.93,background
2014-01-23 14:00:00,ST_001,55.0,4.93,12.13,8.11,19.8,34.6,48.25,2.39,background
2014-01-23 15:00:00,ST_003,8.0,6.61,12.75,8.15,19.1,32.7,45.03,3.32,background
2014-01-23 15:00:00,ST_015,614.0,1.04,11.58,8.34,18.3,33.4,44.71,1.47,background
2014-01-24 16:00:00,ST_018,669.0,4.98,12.72,8.16,18.3,30.8,41.55,5.23,background
2014-01-24 18:00:00,ST_009,36.0,5.91,12.06,8.33,21.4,31.5,45.95,1.18,background
2014-01-25 07:00:00,ST_010,4.0,2.9,10.46,8.15,19.7,30.3,43.21,0.39,background
2014-01-25 12:00:00,ST_006,23.0,5.43,12.3,8.02,21.0,29.6,42.41,3.6,background
2014-01-25 13:00:00,ST_001,10.0,7.25,11.62,8.31,20.4,34.4,48.78,4.13,background
2014-01-25 17:00:00,ST_024,22.0,4.92,12.24,8.29,18.0,33.1,44.03,4.67,background
2014-01-26 07:00:00,ST_021,59.0,4.03,12.81,8.11,20.4,31.8,45.0,1.49,background
2014-01-26 08:00:00,ST_017,26.0,2.71,11.73,8.19,18.5,30.7,42.0,13.65,background
2014-01-26 10:00:00,ST_021,92.0,7.91,11.79,8.15,22.1,33.5,49.8,4.03,background
2014-01-26 14:00:00,ST_025,103.0,1.68,13.02,8.16,21.7,35.0,50.63,3.39,background
2014-01-27 08:00:00,ST_012,410.0,6.45,12.51,8.22,18.4,30.2,41.42,3.22,background
2014-01-27 14:00:00,ST_025,95.0,4.98,12.89,8.26,19.5,33.8,46.19,2.27,background
2014-01-27 18:00:00,ST_006,183.0,3.97,11.97,8.23,21.4,36.2,52.86,2.57,background
2014-01-28 13:00:00,ST_001,3.0,6.17,11.42,8.27,20.8,34.6,48.9,4.71,background
2014-01-28 15:00:00,ST_011,85.0,5.68,13.25,8.3,20.1,32.2,45.67,2.2,background
2014-01-29 09:00:00,ST_002,2551.0,1.68,10.8,8.28,20.0,31.7,44.66,3.47,low
2014-01-29 11:00:00,ST_010,2.0,4.6,11.51,8.27,20.3,30.1,41.53,4.2,background
2014-01-30 07:00:00,ST_024,6.0,1.95,12.22,8.19,18.9,30.6,42.3,1.45,background
2014-01-30 13:00:00,ST_003,28.0,6.83,12.67,8.22,18.7,33.7,45.42,1.47,background
2014-01-30 15:00:00,ST_003,7.0,2.55,12.11,8.2,19.4,29.4,41.45,3.12,background
2014-01-31 08:00:00,ST_022,194.0,5.08,10.54,8.03,22.9,34.1,52.34,3.07,background
2014-01-31 08:00:00,ST_009,1464.0,5.51,12.75,8.12,21.7,34.7,50.09,2.72,low
2014-01-31 13:00:00,ST_018,61.0,4.69,11.04,8.23,19.4,29.1,40.76,2.76,background
2014-02-01 09:00:00,ST_018,895.0,6.32,13.41,8.17,20.2,32.6,44.98,2.06,background
2014-02-01 12:00:00,ST_022,14.0,1.35,11.14,8.18,19.1,32.2,43.44,3.68,background
2014-02-01 17:00:00,ST_007,343.0,6.85,11.48,8.03,20.7,33.4,46.58,4.15,background
2014-02-01 17:00:00,ST_010,30.0,7.25,11.1,8.13,21.2,32.5,46.32,3.75,background
2014-02-01 18:00:00,ST_024,14.0,3.34,12.91,8.21,20.7,34.0,48.37,3.58,background
2014-02-02 07:00:00,ST_011,3.0,1.94,11.27,8.32,18.7,29.6,41.57,3.19,background
2014-02-02 09:00:00,ST_008,17.0,2.33,12.45,8.25,18.5,31.0,41.66,2.57,background
2014-02-02 13:00:00,ST_004,1.0,6.4,11.42,8.3,18.8,30.1,40.81,2.84,background
2014-02-02 13:00:00,ST_017,10.0,1.67,11.84,8.03,22.1,29.9,43.57,2.3,background
2014-02-03 09:00:00,ST_019,36.0,6.63,11.08,8.24,21.7,33.3,49.13,1.03,background
2014-02-03 15:00:00,ST_018,383.0,5.06,12.01,8.24,22.1,35.1,51.46,4.6,background
2014-02-04 06:00:00,ST_003,31.0,7.49,12.07,8.28,19.1,32.9,45.52,1.18,background
2014-02-04 06:00:00,ST_008,4.0,3.6,11.91,8.37,21.1,30.2,43.21,1.94,background
2014-02-04 17:00:00,ST_021,704.0,2.23,11.13,8.34,21.7,29.7,43.13,3.36,background
2014-02-05 06:00:00,ST_011,16.0,1.52,10.84,8.22,20.8,30.5,44.29,4.56,background
2014-02-05 07:00:00,ST_017,100.0,3.74,12.81,8.18,22.3,29.3,42.79,1.22,background
2014-02-06 10:00:00,ST_022,126.0,4.28,11.91,8.07,22.2,33.7,49.38,1.34,background
2014-02-06 13:00:00,ST_007,438.0,6.09,11.76,8.12,21.1,33.8,48.26,1.68,background
2014-02-06 14:00:00,ST_005,86.0,3.76,11.15,8.28,18.0,29.2,39.27,4.01,background
2014-02-07 07:00:00,ST_022,5.0,7.7,10.65,8.22,22.4,33.1,48.66,1.32,background
2014-02-07 09:00:00,ST_016,86.0,1.46,10.74,8.43,22.0,35.1,50.97,1.75,background
2014-02-07 09:00:00,ST_004,131.0,8.66,11.04,8.21,24.0,34.7,53.58,3.86,background
2014-02-07 12:00:00,ST_012,14.0,4.09,10.71,8.19,19.9,30.1,42.49,0.17,background
2014-02-07 18:00:00,ST_014,124.0,10.14,11.53,8.31,22.6,33.3,49.92,11.83,background
2014-02-08 06:00:00,ST_013,47.0,2.77,11.26,8.33,23.7,32.3,49.1,3.52,background
2014-02-08 12:00:00,ST_015,113.0,7.87,10.86,8.2,23.0,29.2,43.28,3.3,background
2014-02-08 16:00:00,ST_021,14.0,2.58,11.8,8.16,22.9,29.4,44.57,2.31,background
2014-02-08 16:00:00,ST_004,7.0,5.47,11.23,8.29,23.6,31.1,47.3,3.07,background
2014-02-08 17:00:00,ST_002,41.0,4.83,13.49,8.16,19.6,32.8,45.78,0.44,background
2014-02-09 09:00:00,ST_007,14.0,3.01,10.68,8.27,21.3,35.9,52.15,2.83,background
2014-02-09 09:00:00,ST_018,497.0,1.61,11.06,8.3,20.4,33.0,46.25,4.26,background
2014-02-09 13:00:00,ST_005,1041.0,5.56,12.54,8.19,20.8,33.9,48.02,1.53,low
2014-02-09 18:00:00,ST_004,2073.0,4.63,10.46,8.32,21.3,32.5,48.17,3.79,low
2014-02-10 07:00:00,ST_015,151.0,8.14,11.45,8.09,20.9,32.9,46.82,1.66,background
2014-02-10 07:00:00,ST_002,15.0,2.32,10.37,8.14,22.5,32.1,47.99,2.99,background
2014-02-10 08:00:00,ST_009,78.0,7.9,12.41,8.16,24.9,34.4,54.72,9.38,background
2014-02-10 13:00:00,ST_008,18.0,1.67,11.25,8.22,20.3,34.3,48.11,12.1,background
2014-02-10 18:00:00,ST_018,102.0,6.25,10.78,8.16,22.8,35.3,52.65,2.98,background
2014-02-11 07:00:00,ST_025,18.0,5.72,11.23,8.25,20.6,33.8,47.56,5.13,background
2014-02-11 09:00:00,ST_006,41.0,2.29,12.14,8.11,19.7,34.9,48.56,3.74,background
2014-02-12 06:00:00,ST_006,53.0,7.49,12.87,8.23,20.0,34.8,49.25,1.49,background
2014-02-12 09:00:00,ST_013,34.0,2.04,10.7,8.23,21.2,31.9,45.88,0.8,background
2014-02-12 12:00:00,ST_009,13.0,7.08,10.9,8.03,19.3,31.5,44.54,3.14,background
2014-02-12 12:00:00,ST_001,200.0,4.59,10.67,8.17,21.3,31.6,45.62,2.89,background
2014-02-12 13:00:00,ST_016,387.0,3.64,11.94,8.25,22.4,30.2,43.94,17.32,background
2014-02-13 10:00:00,ST_014,35.0,3.02,10.36,8.26,21.1,28.9,41.22,1.11,background
2014-02-13 13:00:00,ST_005,51.0,4.55,11.32,8.14,22.3,32.1,48.79,1.91,background
2014-02-13 16:00:00,ST_023,195.0,2.18,9.76,8.19,23.2,34.3,51.98,3.86,background
2014-02-13 17:00:00,ST_024,15.0,7.59,11.81,8.24,20.8,33.9,48.6,1.99,background
2014-02-13 18:00:00,ST_018,15.0,3.15,11.36,8.23,20.6,31.1,44.92,3.64,background
2014-02-14 06:00:00,ST_019,1245.0,8.05,11.86,8.24,21.6,34.0,48.95,2.64,low
2014-02-14 10:00:00,ST_007,701.0,2.46,12.03,8.14,21.3,34.5,49.97,3.77,background
2014-02-14 17:00:00,ST_018,52.0,4.98,10.73,8.09,22.9,33.6,50.23,2.36,background
2014-02-15 06:00:00,ST_002,22.0,7.43,12.22,8.1,18.9,34.8,47.74,3.92,background
2014-02-15 17:00:00,ST_011,140.0,10.11,10.87,8.12,22.7,35.6,52.53,4.81,background
2014-02-16 08:00:00,ST_003,28.0,6.47,10.8,8.02,21.7,32.3,46.72,5.22,background
2014-02-16 08:00:00,ST_002,4.0,5.74,10.38,8.24,20.6,29.0,41.7,0.28,background
2014-02-16 14:00:00,ST_003,66.0,6.6,10.69,8.31,21.7,34.0,49.5,2.73,background
2014-02-16 14:00:00,ST_017,1.0,5.85,12.38,8.26,19.6,34.7,48.93,1.93,background
2014-02-16 15:00:00,ST_003,2170.0,4.42,11.88,8.28,22.3,35.4,52.33,10.48,low
2014-02-17 12:00:00,ST_004,39.0,6.18,11.55,8.25,21.4,29.1,42.33,2.61,background
2014-02-17 15:00:00,ST_008,2415.0,4.69,9.59,8.26,23.2,32.7,48.54,2.71,low
2014-02-17 15:00:00,ST_020,25.0,2.13,13.15,8.18,22.0,33.0,47.83,3.38,background
2014-02-18 12:00:00,ST_022,149.0,3.93,11.84,8.21,22.0,32.9,47.51,3.19,background
2014-02-18 15:00:00,ST_003,2252.0,4.49,10.84,8.25,22.7,30.7,45.49,2.55,low
2014-02-19 10:00:00,ST_007,166.0,11.26,9.22,8.08,21.2,35.3,49.95,4.22,background
2014-02-19 10:00:00,ST_013,1264.0,6.04,11.8,8.14,21.8,35.0,51.16,1.01,low
2014-02-19 11:00:00,ST_008,204.0,8.43,11.48,8.22,23.6,30.6,46.66,3.51,background
2014-02-19 16:00:00,ST_023,24.0,3.74,9.94,8.15,21.5,29.4,42.07,1.88,background
2014-02-20 10:00:00,ST_015,39.0,7.24,9.88,8.16,23.0,30.5,45.19,2.1,background
2014-02-20 11:00:00,ST_025,46.0,4.27,11.12,8.05,22.6,29.4,43.8,1.6,background
2014-02-20 16:00:00,ST_021,56.0,6.05,12.2,8.29,22.3,30.6,44.87,2.12,background
2014-02-21 06:00:00,ST_015,1331.0,6.54,11.78,8.07,23.1,34.0,51.23,2.77,low
2014-02-21 15:00:00,ST_019,336.0,6.92,11.39,8.13,22.5,31.1,46.64,4.04,background
2014-02-22 07:00:00,ST_018,976.0,3.68,11.5,8.25,24.3,33.7,50.56,3.38,background
2014-02-22 09:00:00,ST_017,106.0,3.53,10.83,8.13,22.0,31.0,44.62,1.49,background
2014-02-23 07:00:00,ST_008,155.0,3.66,10.77,8.05,22.0,30.6,45.2,3.31,background
2014-02-23 08:00:00,ST_012,77.0,4.26,9.99,8.26,23.7,31.2,47.95,4.9,background
2014-02-23 08:00:00,ST_015,46.0,6.63,10.77,8.2,23.4,32.1,48.0,5.47,background
2014-02-23 11:00:00,ST_010,412.0,7.27,11.9,8.19,20.1,28.5,40.57,3.83,background
2014-02-24 10:00:00,ST_022,354.0,3.06,11.16,8.32,24.0,33.3,51.03,4.6,background
2014-02-24 14:00:00,ST_001,116.0,7.45,12.58,8.26,21.9,35.1,50.68,2.57,background
2014-02-24 15:00:00,ST_021,706.0,1.99,12.26,8.28,21.2,32.9,47.12,1.45,background
2014-02-24 16:00:00,ST_018,1.0,7.57,13.12,8.26,20.8,32.5,45.25,2.13,background
2014-02-25 07:00:00,ST_004,338.0,5.71,10.08,8.36,24.9,35.4,54.94,2.78,background
2014-02-25 08:00:00,ST_009,7.0,2.35,12.14,8.19,22.8,30.5,46.2,2.0,background
2014-02-26 10:00:00,ST_010,365.0,3.25,10.58,8.18,22.3,30.0,43.88,3.45,background
2014-02-26 15:00:00,ST_007,131.0,6.63,11.08,8.17,26.7,31.7,50.6,1.95,background
2014-02-26 17:00:00,ST_011,160.0,8.22,11.18,8.19,21.3,32.4,47.38,15.48,background
2014-02-27 10:00:00,ST_017,25.0,6.47,9.78,8.2,21.0,34.3,49.17,3.14,background
2014-02-27 13:00:00,ST_009,301.0,4.47,10.23,8.16,24.6,30.4,46.41,1.21,background
2014-02-27 16:00:00,ST_021,434.0,4.47,10.04,8.2,20.8,31.6,45.22,3.7,background
2014-02-28 07:00:00,ST_021,487.0,1.62,9.29,8.16,21.5,33.6,48.23,0.87,background
2014-02-28 12:00:00,ST_009,1713.0,7.53,9.92,8.24,24.5,30.7,47.78,1.73,low
2014-03-01 06:00:00,ST_011,10.0,1.5,11.11,8.06,22.2,30.4,44.44,2.23,background
2014-03-01 18:00:00,ST_005,150.0,2.0,11.33,8.24,22.5,29.5,43.44,4.47,background
2014-03-02 08:00:00,ST_024,11.0,6.9,11.4,8.26,21.1,33.4,49.33,0.76,background
2014-03-02 13:00:00,ST_018,12.0,3.72,11.24,8.26,23.7,30.2,45.89,3.42,background
2014-03-02 14:00:00,ST_001,83.0,8.16,9.99,8.3,24.1,34.2,52.39,3.09,background
2014-03-02 17:00:00,ST_014,115.0,6.24,10.48,8.13,21.2,32.7,47.04,0.1,background
2014-03-03 07:00:00,ST_023,566.0,5.79,9.82,8.14,24.5,31.2,47.81,1.67,background
2014-03-03 08:00:00,ST_018,32.0,6.75,11.06,8.15,21.7,33.7,49.03,1.74,background
2014-03-04 11:00:00,ST_019,57.0,11.44,10.72,8.21,24.1,29.3,45.89,2.36,background
2014-03-04 14:00:00,ST_005,105.0,1.61,11.61,8.26,23.1,32.9,49.63,2.9,background
2014-03-05 08:00:00,ST_002,15.0,5.24,11.36,8.18,22.1,31.9,46.07,5.1,background
2014-03-05 10:00:00,ST_012,20.0,5.56,10.16,8.17,23.3,35.7,53.53,2.63,background
2014-03-05 11:00:00,ST_007,27.0,7.9,11.67,8.26,22.3,33.0,48.06,1.83,background
2014-03-05 16:00:00,ST_008,606.0,10.01,9.68,8.18,23.2,30.1,45.06,2.31,background
2014-03-05 18:00:00,ST_002,537.0,8.25,11.02,8.17,23.0,33.0,49.5,3.99,background
2014-03-06 11:00:00,ST_025,215.0,3.78,10.9,8.14,23.7,36.6,55.08,9.97,background
2014-03-06 14:00:00,ST_014,4.0,7.04,10.83,8.27,25.1,35.5,55.21,3.89,background
2014-03-07 09:00:00,ST_006,187.0,2.09,9.93,8.25,22.7,30.4,45.32,0.34,background
2014-03-07 12:00:00,ST_001,129.0,5.48,10.38,8.4,21.3,30.6,43.62,4.04,background
2014-03-07 18:00:00,ST_006,185.0,1.76,9.97,8.23,22.9,33.3,50.13,2.92,background
2014-03-08 17:00:00,ST_011,56.0,7.43,10.34,8.02,24.4,32.9,50.72,4.2,background
2014-03-08 18:00:00,ST_014,13.0,7.93,9.27,8.08,26.0,30.4,48.14,2.18,background
2014-03-08 18:00:00,ST_022,813.0,2.7,9.53,8.09,25.8,34.5,54.64,1.47,background
2014-03-09 07:00:00,ST_013,164.0,7.06,9.28,7.97,26.5,30.7,49.48,1.11,background
2014-03-09 10:00:00,ST_006,60.0,7.41,8.92,8.17,27.6,34.7,56.56,4.49,background
2014-03-09 18:00:00,ST_023,15.0,5.7,10.12,8.36,26.0,31.4,49.86,15.04,background
2014-03-10 09:00:00,ST_015,13.0,8.37,10.05,8.12,22.6,31.1,47.03,2.23,background
2014-03-10 13:00:00,ST_008,19.0,4.27,11.15,8.28,23.0,28.7,42.27,4.0,background
2014-03-11 09:00:00,ST_001,22.0,2.91,10.82,8.27,24.2,34.2,51.78,3.85,background
2014-03-11 10:00:00,ST_008,37.0,2.03,11.98,8.2,22.2,32.9,48.95,2.8,background
2014-03-11 12:00:00,ST_011,308.0,10.7,10.96,8.14,22.4,33.9,50.85,3.04,background
2014-03-11 16:00:00,ST_007,14.0,9.79,10.6,8.3,22.5,31.0,46.76,3.44,background
2014-03-12 07:00:00,ST_025,49.0,3.3,11.43,8.22,22.0,28.9,42.14,1.48,background
2014-03-12 10:00:00,ST_012,687.0,6.04,11.02,7.99,24.1,30.3,46.54,2.03,background
2014-03-12 12:00:00,ST_022,3.0,8.41,11.46,8.27,21.4,31.4,44.74,3.49,background
2014-03-12 16:00:00,ST_017,15.0,4.07,10.37,8.41,24.0,34.7,53.13,2.1,background
2014-03-13 06:00:00,ST_004,195.0,5.13,10.5,8.19,25.1,34.1,54.05,2.37,background
2014-03-13 06:00:00,ST_004,94.0,5.27,11.48,8.26,22.9,35.1,53.05,2.16,background
2014-03-13 10:00:00,ST_006,2035.0,3.4,9.79,8.24,24.7,31.9,48.48,4.11,low
2014-03-13 15:00:00,ST_009,187.0,14.46,9.38,8.18,25.1,30.0,46.95,2.32,background
2014-03-14 11:00:00,ST_024,131.0,9.74,10.12,8.23,23.4,31.5,46.63,4.2,background
2014-03-14 12:00:00,ST_020,1.0,7.96,11.45,8.2,22.8,31.9,48.17,3.35,background
2014-03-14 12:00:00,ST_019,98.0,3.72,10.82,8.35,24.7,35.6,55.68,3.34,background
2014-03-14 14:00:00,ST_004,156.0,6.19,10.52,8.36,23.7,31.0,47.27,3.6,background
2014-03-14 18:00:00,ST_011,110.0,6.33,10.16,8.09,24.5,31.6,48.72,4.57,background
2014-03-15 06:00:00,ST_017,64.0,2.74,10.66,8.12,22.7,34.2,50.85,2.45,background
2014-03-15 10:00:00,ST_002,35.0,8.44,11.15,8.35,23.0,32.4,48.18,2.75,background
2014-03-15 17:00:00,ST_014,56.0,9.98,10.24,8.37,24.6,36.4,55.75,3.23,background
2014-03-16 07:00:00,ST_022,3100.0,6.77,10.01,8.13,25.2,31.8,50.02,4.06,low
2014-03-16 11:00:00,ST_020,37.0,5.43,10.96,8.47,22.0,30.0,44.28,3.3,background
2014-03-16 11:00:00,ST_014,52.0,7.8,9.75,8.13,24.7,31.7,49.4,1.39,background
2014-03-17 14:00:00,ST_010,295.0,4.35,9.12,8.13,24.5,31.6,48.25,2.21,background
2014-03-17 16:00:00,ST_004,98.0,5.51,9.07,8.18,23.0,34.7,52.46,1.65,background
2014-03-17 16:00:00,ST_014,99.0,11.69,10.22,8.23,22.4,29.6,43.14,3.81,background
2014-03-17 17:00:00,ST_010,35.0,5.24,11.58,8.1,22.2,31.0,45.7,4.23,background
2014-03-18 08:00:00,ST_007,112.0,8.06,11.0,8.23,23.7,34.0,52.65,3.95,background
2014-03-18 10:00:00,ST_018,2.0,7.94,10.95,8.32,26.3,32.5,52.52,5.03,background
2014-03-18 12:00:00,ST_023,44.0,5.37,11.35,8.11,24.3,37.0,57.32,2.88,background
2014-03-18 12:00:00,ST_022,34.0,10.3,10.81,8.2,21.8,30.0,45.06,2.8,background
2014-03-19 06:00:00,ST_010,947.0,4.83,10.19,8.05,24.6,32.0,49.6,1.76,background
2014-03-19 08:00:00,ST_020,9.0,5.49,10.43,8.04,22.6,33.7,50.28,1.38,background
2014-03-19 12:00:00,ST_018,337.0,4.66,9.31,8.21,27.9,34.7,56.74,0.97,background
2014-03-19 15:00:00,ST_010,951.0,1.95,10.73,8.25,22.7,33.9,50.26,2.44,background
2014-03-19 16:00:00,ST_024,65.0,9.17,10.48,8.15,26.0,35.0,56.14,2.34,background
2014-03-20 09:00:00,ST_014,568.0,12.42,9.19,8.22,24.8,36.2,56.19,1.06,background
2014-03-20 11:00:00,ST_015,1990.0,9.46,8.87,8.41,27.7,34.5,56.61,4.59,low
2014-03-20 15:00:00,ST_021,9.0,3.26,9.22,8.29,27.5,32.7,53.85,9.6,background
2014-03-20 18:00:00,ST_019,209.0,6.01,8.73,8.14,26.7,32.8,53.8,1.4,background
2014-03-21 07:00:00,ST_010,202.0,8.1,9.04,8.25,26.8,33.7,54.21,4.84,background
2014-03-21 08:00:00,ST_022,281.0,2.95,10.81,8.27,23.4,33.4,50.18,2.31,background
2014-03-21 09:00:00,ST_017,44.0,2.85,10.87,8.22,24.2,35.7,55.14,2.93,background
2014-03-21 13:00:00,ST_024,257.0,4.65,9.58,8.19,27.2,30.8,50.17,4.61,background
2014-03-21 13:00:00,ST_022,14.0,8.94,10.33,8.04,24.6,32.8,50.33,3.15,background
2014-03-22 07:00:00,ST_025,35.0,6.69,9.41,8.25,26.2,31.2,50.13,1.93,background
2014-03-22 09:00:00,ST_022,24.0,9.98,10.78,8.11,23.7,31.8,48.08,2.58,background
2014-03-22 10:00:00,ST_008,38.0,2.72,9.37,8.24,24.3,33.1,50.78,2.26,background
2014-03-22 18:00:00,ST_007,56.0,4.95,10.48,8.17,20.9,31.0,44.17,3.38,background
2014-03-23 06:00:00,ST_002,54.0,9.59,11.12,8.34,22.4,36.1,54.79,3.18,background
2014-03-23 09:00:00,ST_016,20.0,7.21,10.29,8.35,23.1,33.8,50.82,14.1,background
